,hwd,pronSampa,ipa,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
57,accompany,@ k V m p @ n i:,əkʌmpəniː,4,ăccŏʹmpăny,F.,,,v.,50.0,20,accompany
58,accomplice,@ k A m p l @ s,əkɑmpləs,3,ăccŏʹmplice,F.,,,n.,53.0,20,accomplice
59,accomplish,@ k A m p l i S,əkɑmpliʃ,3,ăccŏʹmpliſh,F.,,,v.,51.0,20,accomplish
60,accomplished,@ k A m p l i S t,əkɑmpliʃt,4,ăccŏʹmplĭſhed,,,,a.,52.0,20,accomplished
61,accord,@ k O: r\ d,əkOːɹd,2,ăccoʹrd,F.,,,v.,55.0,20,accord
62,accost,@ k O: s t,əkOːst,2,ăccŏʹſt,F.,,,v.,56.0,20,accost
63,accumulate,@ k j u m j @ l eI t,əkjumjəl?t,4,ăccuʹmūlăte,L.,,,v.,63.0,20,accumulate
64,accuracy,{ k j 3:r @ s i:,ækjɜ:rəsiː,4,ăʹccūracy,L.,,,n.,64.0,20,accuracy
65,accursed,@ k 3:r s t,əkɜ:rst,3,ăccŭʹrſed,,,,a.,65.0,20,accursed
66,accusation,{ k j @ z eI S @ n,ækjəz?ʃən,5,ăccūſāʹtion,L.,,,n.,67.0,20,accusation
67,accusative,@ k j u z @ 4 i v,əkjuzəɾiv,4,ăccūʹſātive,,,,n.,68.0,20,accusative
68,accuse,@ k j u z,əkjuz,2,ăccūʹſe,L.,,,v.,66.0,20,accuse
69,accustom,@ k V s t @ m,əkʌstəm,3,ăccŭʹſtom,F.,,,v.,69.0,20,accustom
70,ache,eI k,?k,1,āc_he_,,,,n.,72.0,20,ache
71,acid,{ s @ d,æsəd,2,ăʹcid,L.,,,a.,2.0,21,acid
72,acids,{ s @ d z,æsədz,2,ăʹcids,,,,n.,3.0,21,acids
73,acknowledgment,{ k n A l i dZ m @ n t,æknɑli?mənt,4,ăc_k_nŏ_w_lĕdgment,,nbSyll>1 et pas d'accent tonic,,n.,4.0,21,acknowledgment
74,acorn,eI k O: r\ n,?kOːɹn,2,ăʹcorn,,,,n.,6.0,21,acorn
75,acquaint,@ k w eI n t,əkw?nt,2,ăcquaiʹnt,F.,,,v.,8.0,21,acquaint
76,acquaintance,@ k w eI n t @ n s,əkw?ntəns,3,ăcquaĭʹntănce,,,,n.,9.0,21,acquaintance
77,acquiesce,{ k w i: E s,ækwiːɛs,3,acquĭe˘ʹſ_c__e_,L.,,,v.,10.0,21,acquiesce
78,acquire,@ k w aI 3:r,əkw?ɜ:r,2,ăcquīʹre,L.,,,v.,11.0,21,acquire
79,acquisition,{ k w @ z I S @ n,ækwəzɪʃən,5,ăcquĭſĭʹtion,L.,,,n.,12.0,21,acquisition
80,acquit,@ k w I t,əkwɪt,2,ăcquĭʹt,F.,,,v.,14.0,21,acquit
81,acquittal,@ k w I 4 @ l,əkwɪɾəl,3,ăcquĭʹttal,F.,,,n.,15.0,21,acquittal
82,acre,eI k 3:r,?kɜ:r,2,āʹcre,,,,n.,17.0,21,acre
83,acrimony,{ k r\ i m @U n i:,ækɹimoʊniː,4,ăʹcrĭmony,L.,,,n.,18.0,21,acrimony
84,act,{ k t,ækt,1,ăct,L.,,,v.,21.0,21,act
85,action,{ k S @ n,ækʃən,3,ăʹction,L.,,,n.,22.0,21,action
86,actionable,{ k S @ n @ b @ l,ækʃənəbəl,5,ăʹctionable,,,,a.,23.0,21,actionable
87,active,{ k t i v,æktiv,2,ăʹctĭve,L.,,,a.,24.0,21,active
88,activity,{ k t I v @ 4 i:,æktɪvəɾiː,4,ăctĭʹvĭty,L.,,,n.,25.0,21,activity
89,actor,{ k t 3:r,æktɜ:r,2,ăʹctor,L.,,,n.,26.0,21,actor
90,actress,{ k t r\ @ s,æktɹəs,2,ăʹctrĕſs,,,,n.,27.0,21,actress
91,actual,{ k tS @ w @ l,æk?əwəl,3,ăʹctūal,F.,,,a.,28.0,21,actual
92,actuary,{ k tS @ w E r\ i:,æk?əwɛɹiː,4,ăʹctūāry,L.,,,n.,29.0,21,actuary
93,actuate,{ k tS u w eI t,æk?uw?t,3,ăʹctūāte,L.,,,v.,30.0,21,actuate
94,acute,@ k j u t,əkjut,2,acūʹte,L.,,,a.,31.0,21,acute
95,adage,{ 4 @ dZ,æɾə?,2,āʹdāge,L.,,,n.,32.0,21,adage
96,adagio,@ d A Z i: @U,ədɑʒiːoʊ,4,adāʹgĭo,,,,a.,33.0,21,adagio
97,adamant,{ 4 @ m @ n t,æɾəmənt,3,ăʹdămant,L.,,,n.,34.0,21,adamant
98,adapt,@ d { p t,ədæpt,2,adăʹpt,L.,,,v.,37.0,21,adapt
99,adapted,@ d { p t @ d,ədæptəd,3,adăʹpted,,,,v.,38.0,21,adapted
100,adar,@ d A r\,ədɑɹ,2,āʹdar,,,,n.,39.0,21,adar
101,add,{ d,æd,1,ădd,L.,,,v.,40.0,21,add
102,adder,{ 4 3:r,æɾɜ:r,2,ăʹdder,,,,n.,41.0,21,adder
103,addict,@ d I k t,ədɪkt,2,ăddĭʹct,L.,,,v.,43.0,21,addict
104,addition,@ d I S @ n,ədɪʃən,4,ăddĭʹtion,L.,,,n.,45.0,21,addition
105,additional,@ d I S @ n @ l,ədɪʃənəl,5,ăddĭʹtional,,,,a.,46.0,21,additional
106,addle,{ 4 @ l,æɾəl,2,ăʹddle,,,,a.,47.0,21,addle
107,address,{ d r\ E s,ædɹɛs,2,ăddrĕʹſs,F.,,,n.,48.0,21,address
108,adequate,{ 4 @ k w @ t,æɾəkwət,3,ăʹdĕquāte,L.,,,a.,51.0,21,adequate
109,adhere,@ d h I r\,ədhɪɹ,2,ădhēre,L.,nbSyll>1 et pas d'accent tonic,,v.,54.0,21,adhere
110,adherence,@ d h I r\ @ n s,ədhɪɹəns,3,ădhēʹrĕnce,L.,,,n.,55.0,21,adherence
111,adherent,@ d h I r\ @ n t,ədhɪɹənt,3,ădhēʹrent,L.,,,n.,56.0,21,adherent
112,adieu,@ d u,ədu,2,adĭeuʹ,F.,,,p.,60.0,21,adieu
113,adjacent,@ dZ eI s @ n t,ə??sənt,3,ădjāʹcent,L.,,,a.,58.0,21,adjacent
114,adjective,{ dZ i k t i v,æ?iktiv,3,ăʹdjĕctive,L.,,,n.,59.0,21,adjective
115,adjoin,@ dZ OI n,ə??n,2,ădjoiʹn,L.,,,v.,61.0,21,adjoin
116,adjournment,@ dZ 3:r n m @ n t,ə?ɜ:rnmənt,3,ădj_o_ŭʹrnment,F.,,,n.,62.0,21,adjournment
117,adjudge,@ dZ V dZ,ə?ʌ?,2,ădjŭʹdge,L.,,,v.,63.0,21,adjudge
118,adjudication,@ dZ u 4 @ k eI S @ n,ə?uɾək?ʃən,6,ădjūdĭcāʹtion,L.,,,n.,64.0,21,adjudication
119,adjunct,{ dZ V N k t,æ?ʌŋkt,2,ăʹdjŭnct,L.,,,n.,65.0,21,adjunct
120,adjust,@ dZ V s t,ə?ʌst,2,ădjŭʹſt,F.,,,v.,67.0,21,adjust
121,adjutant,{ dZ @ t @ n t,æ?ətənt,3,ăʹdjūtant,L.,,,n.,68.0,21,adjutant
122,administer,@ d m I n @ s t 3:r,ədmɪnəstɜ:r,4,ădmĭʹnĭſt_e_r,L.,,,v.,69.0,21,administer
123,administration,{ d m I n i s t r\ eI S @ n,ædmɪnistɹ?ʃən,6,ădmĭnĭſtrātion,L.,nbSyll>1 et pas d'accent tonic,,n.,70.0,21,administration
124,administrator,@ d m I n @ s t r\ eI 4 3:r,ədmɪnəstɹ?ɾɜ:r,5,ădmĭnĭſtrāʹtor,,,,n.,71.0,21,administrator
125,admiral,{ d m 3:r @ l,ædmɜ:rəl,3,ăʹdmĭrăl,L.,,,n.,73.0,21,admiral
126,admiralty,{ d m 3:r @ l t i:,ædmɜ:rəltiː,4,ăʹdmĭrălty,,,,n.,2.0,22,admiralty
127,admiration,{ d m 3:r eI S @ n,ædmɜ:r?ʃən,5,ădmĭrāʹtion,L.,,,n.,3.0,22,admiration
128,admire,{ d m aI r\,ædm?ɹ,2,ădmīʹre,L.,,,v.,4.0,22,admire
129,admit,@ d m I t,ədmɪt,2,ădmĭʹt,L.,,,v.,6.0,22,admit
130,admittance,@ d m I t @ n s,ədmɪtəns,3,ădmĭʹttănce,L.,,,n.,5.0,22,admittance
131,admonish,{ d m A n i S,ædmɑniʃ,3,ădmŏʹnĭſh,L.,,,v.,7.0,22,admonish
132,admonition,{ d m @ n I S @ n,ædmənɪʃən,5,ădmŏnĭʹtion,L.,,,n.,8.0,22,admonition
133,adolescence,{ 4 @ l E s @ n s,æɾəlɛsəns,4,ădŏlĕʹſcĕnce,L.,,,n.,9.0,22,adolescence
134,adoption,@ d A p S @ n,ədɑpʃən,4,ădŏʹption,L.,,,n.,10.0,22,adoption
135,adorable,@ d O: r\ @ b @ l,ədOːɹəbəl,4,ădōʹrable,,,,a.,11.0,22,adorable
136,adore,@ d O: r\,ədOːɹ,2,ădōʹre,L.,,,v.,12.0,22,adore
137,adorn,@ d O: r\ n,ədOːɹn,2,ădŏʹrn,L.,,,v.,13.0,22,adorn
138,adroit,@ d r\ OI t,ədɹ?t,2,ădroiʹt,F.,,,a.,14.0,22,adroit
139,adulation,{ dZ @ l eI S @ n,æ?əl?ʃən,5,ădūlāʹtion,L.,,,n.,32.0,22,adulation
140,adult,@ d V l t,ədʌlt,2,adŭʹlt,L.,,,a.,34.0,22,adult
141,adulterate,@ d V l t 3:r eI t,ədʌltɜ:r?t,4,adŭʹlte˘rāte,L.,,,v.,35.0,22,adulterate
142,adulterer,@ d V l t 3:r 3:r,ədʌltɜ:rɜ:r,4,adŭʹlte˘rer,,,,n.,36.0,22,adulterer
143,adultery,@ d V l t 3:r i:,ədʌltɜ:riː,4,adŭʹlte˘ry,L.,,,n.,38.0,22,adultery
144,advance,@ d v { n s,ədvæns,2,ădvăʹnce,F.,,,v.,16.0,22,advance
145,advancement,@ d v { n s m @ n t,ədvænsmənt,3,ădvăʹnc_e_ment,F.,,,n.,17.0,22,advancement
146,advantage,{ d v { n t i dZ,ædvænti?,3,ădvăʹntage,F.,,,n.,18.0,22,advantage
147,advent,{ d v E n t,ædvɛnt,2,ăʹdvĕnt,L.,,,n.,19.0,22,advent
148,adventure,{ d v E n tS 3:r,ædvɛn?ɜ:r,3,ădvĕʹntŭre,F.,,,n.,21.0,22,adventure
149,adventurous,{ d v E n tS 3:r @ s,ædvɛn?ɜ:rəs,4,ădvĕʹntŭr_o_us,,,,a.,22.0,22,adventurous
150,adverb,{ d v 3:r b,ædvɜ:rb,2,ăʹdverb,L.,,,n.,23.0,22,adverb
151,adversary,{ d v 3:r s E r\ i:,ædvɜ:rsɛɹiː,4,ăʹdvĕrſăry,L.,,,n.,24.0,22,adversary
152,adverse,{ d v 3:r s,ædvɜ:rs,2,ăʹdvĕrſe,L.,,,a.,25.0,22,adverse
153,adversity,{ d v 3:r s i 4 i:,ædvɜ:rsiɾiː,4,ădvĕʹrſity,L.,,,n.,26.0,22,adversity
154,advertise,{ d v 3:r t aI z,ædvɜ:rt?z,3,ădvĕrtĭʹſe,L.,,,v.,29.0,22,advertise
155,advice,{ d v aI s,ædv?s,2,ădvīʹce,F.,,,n.,30.0,22,advice
156,advise,{ d v aI z,ædv?z,2,ădvīʹſe,,,,v.,31.0,22,advise
157,advocate,{ d v @ k @ t,ædvəkət,3,ăʹdvŏcāte,L.,,,n.,39.0,22,advocate
158,aerial,E r\ i: @ l,ɛɹiːəl,4,āe˘ʹrĭal,G.,,,a.,46.0,22,aerial
159,afar,@ f A r\,əfɑɹ,2,ăʹfar,,,,n.,11.0,30,afar
160,affair,@ f E r\,əfɛɹ,2,ăffaiʹr,F.,,,n.,49.0,22,affair
161,affect,@ f E k t,əfɛkt,2,affe˘ʹct,L.,,,v.,50.0,22,affect
162,affectation,{ f E k t eI S @ n,æfɛkt?ʃən,5,ăffĕctāʹtion,L.,,,n.,51.0,22,affectation
163,affected,@ f E k t @ d,əfɛktəd,3,ăffĕʹcted,,,,a.,52.0,22,affected
164,affection,@ f E k S @ n,əfɛkʃən,4,ăffĕʹction,L.,,,n.,53.0,22,affection
165,affectionate,@ f E k S @ n @ t,əfɛkʃənət,5,ăffĕʹctionāte,,,,a.,54.0,22,affectionate
166,affidavit,{ f @ d eI v @ t,æfəd?vət,4,ăffĭdāʹvit,,,,n.,57.0,22,affidavit
167,affinity,@ f I n @ 4 i:,əfɪnəɾiː,4,ăffĭʹnĭʹty,L.,,,n.,58.0,22,affinity
168,affirm,@ f 3:r m,əfɜ:rm,2,ăffĭrm,L.,nbSyll>1 et pas d'accent tonic,,v.,59.0,22,affirm
169,affirmation,{ f 3:r m eI S @ n,æfɜ:rm?ʃən,5,ăffĭrmāʹtion,L.,,,n.,60.0,22,affirmation
170,affirmative,@ f 3:r m @ 4 i v,əfɜ:rməɾiv,4,ăffĭʹrmătive,L.,,,a.,61.0,22,affirmative
171,affix,{ f i k s,æfiks,2,affĭʹx,L.,,,v.,62.0,22,affix
172,afflict,@ f l I k t,əflɪkt,2,ăfflĭʹct,L.,,,v.,64.0,22,afflict
173,affliction,@ f l I k S @ n,əflɪkʃən,4,ăfflĭʹction,L.,,,n.,65.0,22,affliction
174,affluence,{ f l u @ n s,æfluəns,3,ăfflūĕnce,L.,nbSyll>1 et pas d'accent tonic,,n.,67.0,22,affluence
175,affluent,{ f l u @ n t,æfluənt,3,ăʹfflūĕnt,L.,,,a.,68.0,22,affluent
176,afford,@ f O: r\ d,əfOːɹd,2,ăffoʹrd,,,,v.,70.0,22,afford
177,affront,@ f r\ V n t,əfɹʌnt,2,ăffrŏʹnt,F.,,,v.,3.0,23,affront
178,africa,{ f r\ @ k @,æfɹəkə,3,ăʹfrĭcā,,,,n.,73.0,22,africa
179,aft,{ f t,æft,1,ăft,,,,p.,6.0,23,aft
180,after,{ f t 3:r,æftɜ:r,2,ăʹft_e_r,,,,p.,7.0,23,after
181,afternoon,{ f t 3:r n u n,æftɜ:rnun,3,ăfternooʹn,,,,n.,8.0,23,afternoon
182,aga,A g @,ɑgə,2,āʹgā,,,,n.,9.0,23,aga
183,agate,{ g @ t,ægət,2,ăʹgate,G.,,,n.,11.0,23,agate
184,age,eI dZ,??,1,āge,,,,n.,12.0,23,age
185,agency,eI dZ @ n s i:,??ənsiː,3,āʹge˘ncy,L.,,,n.,13.0,23,agency
186,agent,eI dZ @ n t,??ənt,2,āʹgent,L.,,,n.,14.0,23,agent
187,agglomerate,@ g l A m 3:r eI t,əglɑmɜ:r?t,4,ăgglŏʹmĕrāte,L.,,,v.,15.0,23,agglomerate
188,agglutinate,@ g l u t i n eI t,əglutin?t,4,ăgglūʹtĭnāte,L.,,,v.,16.0,23,agglutinate
189,aggrandize,@ g r\ { n d aI z,əgɹænd?z,3,ăʹggrăndīze,F.,,,v.,17.0,23,aggrandize
190,aggravate,{ g r\ @ v eI t,ægɹəv?t,3,ăʹggrăvāte,L.,,,v.,18.0,23,aggravate
191,aggravation,{ g r\ @ v eI S @ n,ægɹəv?ʃən,5,ăggrăvāʹtion,L.,,,n.,19.0,23,aggravation
192,aggregate,{ g r\ @ g @ t,ægɹəgət,3,ăʹggrĕgāte,L.,,,v.,20.0,23,aggregate
193,aggress,@ g r\ E s,əgɹɛs,2,ăggrĕʹſs,L.,,,v.,21.0,23,aggress
194,aggressor,@ g r\ E s 3:r,əgɹɛsɜ:r,3,ăggrĕʹſſor,,,,n.,22.0,23,aggressor
195,aggrieve,@ g r\ i: v,əgɹiːv,2,ăggrieʹve,,,,n.,23.0,23,aggrieve
196,agile,{ dZ @ l,æ?əl,2,ăʹgĭle,L.,,,a.,24.0,23,agile
197,agility,@ dZ I l @ 4 i:,ə?ɪləɾiː,4,ăgĭʹlĭty,L.,,,n.,25.0,23,agility
198,agitate,{ dZ @ t eI t,æ?ət?t,3,ăʹgĭtāte,L.,,,v.,28.0,23,agitate
199,agitation,{ dZ @ t eI S @ n,æ?ət?ʃən,5,ăgĭtāʹtion,L.,,,n.,29.0,23,agitation
200,agitator,{ dZ @ t eI 4 3:r,æ?ət?ɾɜ:r,4,ăgĭtāʹtor,L.,,,n.,30.0,23,agitator
201,agony,{ g @ n i:,ægəniː,3,ăʹgŏny,G.,,,n.,33.0,23,agony
202,agree,@ g r\ i:,əgɹiː,2,ăgreeʹ,F.,,,v.,34.0,23,agree
203,agreeable,@ g r\ i: @ b @ l,əgɹiːəbəl,4,ăgreeʹable,F.,,,a.,35.0,23,agreeable
204,agreement,@ g r\ i: m @ n t,əgɹiːmənt,3,ăgreeʹment,,,,n.,36.0,23,agreement
205,agriculture,{ g r\ i k V l tS 3:r,ægɹikʌl?ɜ:r,4,ăʹgrĭcŭltŭre,L.,,,n.,37.0,23,agriculture
206,aid,eI d,?d,1,aid,,,,v.,42.0,23,aid
207,ail,eI l,?l,1,ail,,,,v.,43.0,23,ail
208,aim,eI m,?m,1,aim,,,,v.,44.0,23,aim
209,air,E r\,ɛɹ,1,air,,,,n.,45.0,23,air
210,airy,E r\ i:,ɛɹiː,2,aiʹry,,,pas de {POS} indiquée dans le dictionnaire.,,47.0,23,airy
211,alabaster,{ l @ b { s t 3:r,æləbæstɜ:r,4,ălăbăʹſt_e_r,,,,n.,48.0,23,alabaster
212,alacrity,@ l { k r\ @ 4 i:,əlækɹəɾiː,4,alăʹcrĭty,,,,n.,49.0,23,alacrity
213,alarm,@ l A r\ m,əlɑɹm,2,alăʹrm,F.,,,n.,51.0,23,alarm
214,albion,{ l b i: @ n,ælbiːən,3,ăʹlbĭon,L.,,,n.,53.0,23,albion
215,alcove,{ l k @U v,ælkoʊv,2,ăʹlcōve,F.,,,n.,60.0,23,alcove
216,alder,O: l d 3:r,Oːldɜ:r,2,ăʹld_e_r,,,,n.,61.0,23,alder
217,alderman,O: l d 3:r m @ n,Oːldɜ:rmən,3,ăʹldĕrmăn,,,,n.,62.0,23,alderman
218,ale,eI l,?l,1,āle,,,,n.,63.0,23,ale
219,alexandrine,{ l @ g z { n d r\ i: n,æləgzændɹiːn,4,alexăʹndrĭne,,,,n.,69.0,23,alexandrine
220,algebra,{ l dZ @ b r\ @,æl?əbɹə,3,ăʹlgĕbrā,,,,n.,71.0,23,algebra
221,algorithm,{ l g 3:r I D @ m,ælgɜ:rɪðəm,3,ăʹlgorĭthm,,,,n.,73.0,23,algorithm
222,alias,eI l i: @ s,?liːəs,3,ăʹlĭas,L.,,,p.,3.0,24,alias
223,alien,eI l i: @ n,?liːən,3,ăʹlĭen,L.,,,n.,4.0,24,alien
224,alienate,eI l j @ n eI t,?ljən?t,4,ăʹlĭenāte,,,,v.,5.0,24,alienate
225,alienation,eI l i: @ n eI S @ n,?liːən?ʃən,6,ălĭenāʹtion,,,,n.,6.0,24,alienation
226,alimentary,{ l @ m E n t 3:r i:,æləmɛntɜ:riː,5,ălĭmĕʹntary,,,,a.,8.0,24,alimentary
227,alimony,{ l @ m @U n i:,æləmoʊniː,4,ăʹlĭmŏny,,,,n.,9.0,24,alimony
228,alkahest,{ l k @ h E s t,ælkəhɛst,3,ăʹlkăhĕſt,,,,n.,13.0,24,alkahest
229,allay,@ l eI,əl?,2,ăllaʹy,F.,,,n.,15.0,24,allay
230,allegation,{ l @ g eI S @ n,æləg?ʃən,5,ăllēgāʹtion,L.,,,n.,17.0,24,allegation
231,allegiance,@ l i: dZ @ n s,əliː?əns,4,ăllĕʹgĭ_a_nce,L.,,,n.,18.0,24,allegiance
232,allegorical,{ l @ g O: r\ @ k @ l,æləgOːɹəkəl,5,ăllēgŏʹrical,G.,,,a.,19.0,24,allegorical
233,allegory,{ l @ g O: r\ i:,æləgOːɹiː,4,ăʹllĕgŏry,G.,,,n.,21.0,24,allegory
234,allegro,@ l E g r\ @U,əlɛgɹoʊ,3,ăllēʹgro,,,,n.,22.0,24,allegro
235,alleviate,@ l i: v i: eI t,əliːviː?t,4,ăllĕʹvĭāte,L.,,,v.,23.0,24,alleviate
236,alley,{ l i:,æliː,2,ăʹlley,F.,,,n.,24.0,24,alley
237,alliance,@ l aI @ n s,əl?əns,3,ăllīʹance,F.,,,n.,25.0,24,alliance
238,allies,{ l aI z,æl?z,2,ăllīʹ_e_s,F.,,,n.,26.0,24,allies
239,alligator,{ l @ g eI 4 3:r,æləg?ɾɜ:r,4,ăllĭgāʹtor,,,,n.,28.0,24,alligator
240,allot,@ l A t,əlɑt,2,allŏʹt,,,,v.,31.0,24,allot
241,allow,@ l aU,əl?,2,allȯẇ,F.,nbSyll>1 et pas d'accent tonic,,v.,32.0,24,allow
242,allowance,@ l aU @ n s,əl?əns,3,allȯẇănce,,nbSyll>1 et pas d'accent tonic,,n.,33.0,24,allowance
243,allude,@ l u d,əlud,2,allūʹde,L.,,,v.,34.0,24,allude
244,allum,{ l @ m,æləm,2,ăʹllŭm,,,,n.,35.0,24,allum
245,allure,@ l U r\,əlʊɹ,2,allūre,,nbSyll>1 et pas d'accent tonic,,v.,37.0,24,allure
246,allusion,@ l u Z @ n,əluʒən,4,allūʹſion,L.,,,n.,39.0,24,allusion
247,almanac,O: l m @ n { k,Oːlmənæk,3,ăʹlmănăc,,,,n.,40.0,24,almanac
248,almond,A m @ n d,ɑmənd,2,ăʹlmŏnd,,,,n.,41.0,24,almond
249,alms,A l m z,ɑlmz,1,alms,,,,n.,43.0,24,alms
250,aloft,@ l O: f t,əlOːft,2,alŏʹft,,,,p.,45.0,24,aloft
